VAR_BLUE_101
VAR_BLUE_102
VAR_BLUE_103
VAR_BLUE_104
VAR_BLUE_105
VAR_BLUE_202
VAR_BLUE_203
VAR_BLUE_204
VAR_BLUE_501
VAR_BLUE_502
VAR_BLUE_503
VAR_BLUE_504
